# date	host	workload	level	mhz	mhz_lo	mhz_hi	box_mhz
2026-08-13T20:40:39Z	plexus	mandelbrot-p	-O3	2290	2290	2542	1283
2026-08-13T20:40:39Z	plexus	mandelbrot-p	fpc	2492	1924	2492	1413
2026-08-13T20:40:39Z	plexus	raytracer	-O0	2556	2483	2563	1715
2026-08-13T20:40:39Z	plexus	raytracer	-O2	2550	2531	2558	1777
2026-08-13T20:40:39Z	plexus	raytracer	-O3	2548	2483	2568	1481
2026-08-13T20:40:39Z	plexus	raytracer-p	-O0	2487	1923	2509	1575
2026-08-13T20:40:39Z	plexus	raytracer-p	-O2	1961	1961	2298	1466
2026-08-13T20:40:39Z	plexus	raytracer-p	-O3	2478	2310	2478	1342
2026-08-13T20:40:39Z	plexus	raytracer-p	fpc	1239	1239	2394	1635
2026-08-13T20:40:39Z	plexus	sieve	-O0	1693	1311	2253	1742
2026-08-13T20:40:39Z	plexus	sieve	-O2	1354	1225	2393	1362
2026-08-13T20:40:39Z	plexus	sieve	-O3	2281	1322	2372	1458
2026-08-13T20:40:39Z	plexus	sieve	fpc	1378	1378	2316	1385
2026-08-13T20:40:39Z	plexus	nbody	-O0	2492	2276	2549	1552
2026-08-13T20:40:39Z	plexus	nbody	-O2	2522	2218	2586	1607
2026-08-13T20:40:39Z	plexus	nbody	-O3	2105	2105	2510	1514
2026-08-13T20:40:39Z	plexus	nbody	fpc	2318	1200	2358	1418
2026-08-13T20:40:39Z	plexus	fib	-O0	2497	1965	2515	1427
2026-08-13T20:40:39Z	plexus	fib	-O2	2339	1460	2339	1400
2026-08-13T20:40:39Z	plexus	fib	-O3	2321	1333	2321	1408
2026-08-13T20:40:39Z	plexus	fib	fpc	1813	1356	2312	1427
2026-08-13T20:40:39Z	plexus	selfcompile	-O0	2536	2536	2570	1392
2026-08-13T20:40:39Z	plexus	selfcompile	-O2	2565	2563	2565	1416
2026-08-13T20:40:39Z	plexus	selfcompile	-O3	2531	2531	2571	1681
2026-08-13T20:40:39Z	plexus	selfcompile	fpc	1371	1248	2080	1478
2026-08-13T23:35:56Z	plexus	mandelbrot	-O0	2505	2467	2558	1401
2026-08-13T23:35:56Z	plexus	mandelbrot	-O2	2559	2412	2570	1455
2026-08-13T23:35:56Z	plexus	mandelbrot	-O3	2506	2392	2506	1603
2026-08-13T23:35:56Z	plexus	mandelbrot-p	-O0	2505	2411	2559	1390
2026-08-13T23:35:56Z	plexus	mandelbrot-p	-O2	2550	2502	2559	1411
2026-08-13T23:35:56Z	plexus	mandelbrot-p	-O3	2534	2501	2534	1376
2026-08-13T23:35:56Z	plexus	mandelbrot-p	fpc	1933	1895	2479	1450
2026-08-13T23:35:56Z	plexus	raytracer	-O0	2568	2560	2569	1490
2026-08-13T23:35:56Z	plexus	raytracer	-O2	2543	2543	2566	1638
2026-08-13T23:35:56Z	plexus	raytracer	-O3	2559	2544	2564	1333
